ID,nom_scientifique,nom_commun,Benevoles
53,Chlorophtalmus agassizi,L’eperlan du large,
55,Chelon labrosus,Le mulet lippu,
56,Oedalechilus labeo,Le mulet labeon,
62,Atherina boyeri,Le joel,
81,Pseudocaranx dentex,La carangue dentue,
85,Trachinotus ovatus,La palomine,
89,Seriola dumerili,La grande seriole,
98,Dicentrarchus labrax,Le bar commun,
101,Sphyraena viridensis,La bécune bouche jaune,
119,Belone belone,L’orphie,
131,Tetrapturus belone,Le marlin de mediterranée,
175,Oblada melanurus,L’oblade,
176,Diplodus sargus,Le sar commun,
177,Diplodus puntazzo,Le sar à museau pointu,
179,Diplodus vulgaris,Le sar à tête noire,
180,Diplodus annularis,Le sparaillon,
183,Diplodus cervinus,Le sar à grosses lèvres,
190,Sparus auratus,La dorade royale,
191,Spondyliosoma cantharus,La canthare,
193,Dentex dentex,Le denté commun,
199,Lithognathus mormyrus,Le marbré,
200,Sarpa salpa,La saupe,
201,Boops boops,La bogue,
216,Labrus bergylta,La vielle,
217,Labrus merula,Le merle,
219,Labrus mixtus,La coquette,
220,Symphodus tinca,Le crénilabre tanche,
221,Symphodus roissali,Le crénilabre à 5 taches,
224,Symphodus melops,Le crénilabre de melops,
225,Symphodus ocellatus,Le crénilabre ocellé,
227,Symphodus cinereus,Le crénilabre cendré,
228,Symphodus mediterraneus,Le crénilabre méditerranéen,
229,Symphodus rostratus,Le sublet,
235,Ctenolabrus rupestris,Le cténolabre,
238,Thalassoma pavo,La girelle-paon,
239,Coris julis,La girelle,
240,Xyrichtys novacula,Le rason,
241,Sparisoma cretense,Le poisson-perroquet,
243,Siganus luridus,Le poisson lapin à queue tronquée,
244,Siganus rivulatus,Le poisson lapin à ventre strié,
248,Chromis chromis,La castagnole,
258,Anthias anthias,Le barbier commun,
260,Serranus scriba,Le serran ecriture,
261,Serranus cabrilla,Le serran -chevrette,
263,Epinephelus marginatus,Le mérou brun,
266,Epinephelus costae,La badèche,
272,Apogon imberbis,L’apogon commun,
277,Sciaena umbra,Le corb,
286,Phycis phycis,La mostelle de roche,
293,Gadus morhua,La morue,
308,Gasterosteus aculeatus,L’épinoche,
310,Balistes capriscus,Le baliste commun,
335,Aidablennius sphynx,La blennie sphynx,
336,Parablennius gattorugine,La blennie gattorugine,
338,Parablennius sanguinolentus,La blennie palmicorne,
339,Parablennius rouxi,La blennie de roux,
340,Parablennius pilicornis,La blennie pilicorne,
342,Parablennius incognitus,La blennie diabolo,
343,Parablennius zvonimiri,La blennie de Zvonimir,
347,Coryphoblennius galerita,La blennie coiffée,
349,Lipophrys pholis,Le mordocet,
352,Microlipophrys canevae,La blennie de Caneva,
355,Salaria pavo,La blennie paon,
357,Scorpaena maderensis,La rascasse de Madère,
358,Scorpaena porcus,La rascasse brune,
360,Scorpaena notata,La petite rascasse rouge,
362,Scorpaena scrofa,Le chapon,
369,Taurulus bubalis,Le chabot buffle,
378,Cottus gobio,Le chabot commun,
388,Gobius paganellus,Le gobie paganel,
390,Gobius cobitis,Le gobie à grosse tête,
391,Gobius niger,Le gobie noir,
394,Gobius cruentatus,Le gobie à bouche rouge,
396,Gobius geniporus,Le gobie svelte,
398,Gobius fallax,Le gobie de sarato,
400,Gobius xanthocephalus,Le gobie à tête jaune,
437,Pomatoschistus microps,Le gobie tacheté,
438,Pomatoschistus marmoratus,Le gobie marbré,
439,Pomatoschistus pictus,Le gobie varié,
450,Pomatoschistus flavescens,Le gobie nageur,
453,Mullus surmuletus,Le rouget-barbet de roche,
454,Mullus barbatus,Le rouget-barbet de vase,
459,Chelidonichthys lastoviza,Le grondin canard,
460,Chelidonichthys lucerna,Le grondin-perlon,
469,Callionymus lyra,Le dragonnet lyre,
475,Synodus saurus,Le poisson-lézard rayé,
480,Trachinus draco,La grande vive,
487,Tripterygion delaisi,Le triptérygion jaune,
488,Tripterygion tripteronotum,Le tripterygion rouge,
489,Tripterygion melanurus,Le tryptérigion nain,
494,Conger conger,Le congre,
501,Anguilla anguilla,L’anguille,
504,Muraena helena,La murène commune,
525,Pholis gunnellus,La gonnelle,
532,Platichthys flesus,Le flet,
543,Bothus podas,Le rombou,
553,Solea solea,La sole commune,
584,Hippocampus guttulatus,L’hippocampe moucheté,
586,Hippocampus guttulatus,L’hippocampe à ramules,
587,Hippocampus hippocampus,L’hippocampe à nez court,
588,Syngnathus acus,Le syngnathe aiguille,
591,Syngnathus typhle,Le siphonostome atlantique,
598,Nerophis lumbriciformis,Le nérophis lombricoïde,